CODE ID;Turn;Lang;Participant;Text;Version;Experiment;VIP;Token count (tokenizer);DAs_GOLD;subject;domain;argument;intent;slot_names;slot_values;
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;11;en;U;How many transitions does the automaton contain ;[2023-05-28]; [Si];no;7;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['numberOfTransitions'];['?'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;12;en;S;There are a total of 3 arcs. Try asking me if there is a particular pattern among them. ;[2023-05-28]; [Si];no;20;"Ta:answer; Ta:suggest";Computer Science;FSA;Transition;fsa-practical;['numberOfTransitions'];['3'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;13;en;U;there is a particular pattern among them ;[2023-05-28]; [Si];no;7;Ta:propositionalQuestion;Computer Science;FSA;Pattern;fsa-practical;['patternType'];['?'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;14;en;S;Yes, there is only one arc starting from each state. The first 2 in anti-clockwise direction are marked by 1, the remaining by 0. ;[2023-05-28]; [Si];no;28;Ta:answer;Computer Science;FSA;Pattern;fsa-practical;['patternType'];['anti-clockwise'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;15;en;U;What is the alphabet ;[2023-05-28]; [Si];no;4;Ta:setQuestion;Computer Science;FSA;Alphabet;fsa-practical;['alphabet'];['?'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;16;en;S;"I don't know, try just asking something like, ""How many states are there?"" ";[2023-05-28]; [Si];no;19;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;17;en;U;What are the transitions ;[2023-05-28]; [Si];no;4;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];['?'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;18;en;S;"I don't know, try just asking something like, ""How many states are there?"" ";[2023-05-28]; [Si];no;19;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;19;en;U;What are the states ;[2023-05-28]; [Si];no;4;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;['states'];['?'];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;20;en;S;No, there is not a state called like this. ;[2023-05-28]; [Si];no;11;Ta:answer;Computer Science;FSA;State;fsa-practical;['states'];[[]];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;21;en;U;What is q1 ;[2023-05-28]; [Si];no;3;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;[];[];
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa;22;en;S;"I don't know, try asking something like, ""What is the accepted language?"" ";[2023-05-28]; [Si];no;18;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;1;en;U;how many states and edges ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;Automata;fsa-practical;['numberOfStates','numberOfTransitions'];['?','?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;2;en;S;In this automaton there are 5 states and 5 transitions. From each state only one transition starts. Each state receives one transition. ;[2023-05-28]; [Si];no;25;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['numberOfStates','numberOfTransitions'];['5','5'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;3;en;U;is it directed ;[2023-05-28]; [Si];no;3;Ta:propositionalQuestion;Computer Science;FSA;Pattern;fsa-practical;['automatonType'];['directed'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;4;en;S;"I dont' know. Just try asking something like, ""How is the automaton represented?"" ";[2023-05-28]; [Si];no;19;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;5;en;U;How is the automaton represented ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;Automata;fsa-practical;['graphicRepresentation'];['?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;6;en;S;This automaton can be represented as a pentagon with its states arranged as vertices. ;[2023-05-28]; [Si];no;15;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['graphicRepresentation'];['pentagon'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;7;en;U;has it cycles ;[2023-05-28]; [Si];no;3;Ta:propositionalQuestion;Computer Science;FSA;Pattern;fsa-practical;['patternType'];['?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;8;en;S;"I dont' know. Try asking something like, ""Describe the automaton."" ";[2023-05-28]; [Si];no;16;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;9;en;U;Describe the automaton ;[2023-05-28]; [Si];no;3;Ta:request;Computer Science;FSA;Automata;fsa-practical;[];[];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;10;en;S;It is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a triple of 1s followed by a pair of 0s. There are a total of 5 states: q0, q1, q2, q3, and q4. q0 is both initial and end state. From each state 1 arc starts: from q0 the arc points to q1 and is marked with 1. From q1 it points to q2 and is marked with 1. From q2 it points to q3 and is marked with 1. From q3 points to q4 and is marked with 0. Finally, from q4 points to q0 and is marked again with 0. ;[2023-05-28]; [Si];no;126;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','numberOfStates','states','initialState','finalStates','transitions'];[['0','1'],'5',['q0','q1','q2','q3','q4'],'q0',['q0'],[('q0','q1','1'),('q1','q2','1'),('q2','q3','1'),('q3','q4','0'),('q4','q0','0')]];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;11;en;U;The automaton accepts a language allowing words made of an odd number of 0s and 1s ;[2023-05-28]; [Si];no;16;Ta:checkQuestion;Computer Science;FSA;Language;fsa-practical;['alphabet'];[['0','1']];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;12;en;S;The language accepted by this automaton is made of zero or more words formed by a sequence of a triple of 1s followed by a pair of 0s. ;[2023-05-28]; [Si];no;29;Ta:answer;Computer Science;FSA;Language;fsa-practical;['alphabet','input'];[['0','1'],'11100'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;13;en;U;is it possible repetitive pattern in the transactions ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Pattern;fsa-practical;['patternType'];['?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;14;en;S;There is only one arc starting from each state. The first three in clockwise direction are marked with 1, the remaining two with 0. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;Pattern;fsa-practical;['patternType'];['?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;15;en;U;If q2 is the final state the language accepted by the automaton is the same ;[2023-05-28]; [Si];no;15;Ta:propositionalQuestion;Computer Science;FSA;State;fsa-practical;['finalStates','alphabet'];[['q2'],'?'];
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu;16;en;S;The language accepted by this automaton is made of zero or more words formed by a sequence of a triple of 1s followed by a pair of 0s. ;[2023-05-28]; [Si];no;29;Ta:answer;Computer Science;FSA;Language;fsa-practical;['alphabet','input'];[['0','1'],'11100'];
"""meno""pu7A";1;en;U;Briefly describe the automaton ;[2023-05-28]; [Si];no;4;Ta:request;Computer Science;FSA;Automata;fsa-practical;[];[];
"""meno""pu7A";2;en;S;This automaton accepts zero or more words in a binary alphabet formed by a sequence of a triple of 1s followed by a pair of 0s. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','input'];[['0','1'],'11100'];
"""meno""pu7A";3;en;U;Does it only accept 1s and 0s ;[2023-05-28]; [Si];no;7;Ta:propositionalQuestion;Computer Science;FSA;Alphabet;fsa-practical;['alphabet'];[['0','1']];
"""meno""pu7A";4;en;S;"I dont' know. Just try asking something like, ""How is the automaton represented?"" ";[2023-05-28]; [Si];no;19;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";5;en;U;How is the automaton represented ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;Automata;fsa-practical;['graphicRepresentation'];['?'];
"""meno""pu7A";6;en;S;This automaton can be represented as a pentagon with its states arranged as vertices. ;[2023-05-28]; [Si];no;15;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['graphicRepresentation'];['pentagon'];
"""meno""pu7A";7;en;U;And how about the arrows ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];['?'];
"""meno""pu7A";8;en;S;"I dont' know. Try asking something like, ""Which is the initial state?"" ";[2023-05-28]; [Si];no;18;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";9;en;U;Which is the initial state ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;['initialState'];['?'];
"""meno""pu7A";10;en;S;q0 is both the initial and final state. ;[2023-05-28]; [Si];no;9;Ta:answer;Computer Science;FSA;State;fsa-practical;['initialState','finalStates'];['q0',['q0']];
"""meno""pu7A";11;en;U;Does it have 5 states then ;[2023-05-28]; [Si];no;6;Ta:checkQuestion;Computer Science;FSA;State;fsa-practical;['numberOfStates'];['5'];
"""meno""pu7A";12;en;S;"I dont' know. Try just asking something like, ""How many states are there?"" ";[2023-05-28]; [Si];no;19;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";13;en;U;How many states are there ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;['numberOfStates'];['?'];
"""meno""pu7A";14;en;S;There are a total of 5 states. q0, q1, q2, q3, and q4. q0 is both initial and final state. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;State;fsa-practical;['numberOfStates','states','initialState','finalStates'];['5',['q0','q1','q2','q3','q4'],'q0',['q0']];
"""meno""pu7A";15;en;U;Give me a list of the arcs ;[2023-05-28]; [Si];no;7;Ta:request;Computer Science;FSA;Transition;fsa-practical;['transitions'];['?'];
"""meno""pu7A";16;en;S;"I dont' know. Try asking something like, ""Which is the initial state?"" ";[2023-05-28]; [Si];no;18;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";17;en;U;Is there an arc from q0 to q1 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','?')]];
"""meno""pu7A";18;en;S;Yes, there is a transition from q0 to q1 and is marked with 1. ;[2023-05-28]; [Si];no;16;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
"""meno""pu7A";19;en;U;What is the shape of the arcs ;[2023-05-28]; [Si];no;7;Ta:setQuestion;Computer Science;FSA;Automata;fsa-practical;['graphicRepresentation'];['?'];
"""meno""pu7A";20;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";21;en;U;Is there an arc from q0 to q2 q3 or q4 ;[2023-05-28]; [Si];no;11;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q2','?'),('q0','q3','?'),('q0','q4','?')]];
"""meno""pu7A";22;en;S;From q0 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
"""meno""pu7A";23;en;U;Which are the transitions from q1 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','?','?')]];
"""meno""pu7A";24;en;S;From q1 there is only one transition to q2 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q2','1')]];
"""meno""pu7A";25;en;U;Which are the transitions from q2 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','?','?')]];
"""meno""pu7A";26;en;S;From q2 there is only one transition to q3 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','q3','1')]];
"""meno""pu7A";27;en;U;Which are the transitions from q3 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q3','?','?')]];
"""meno""pu7A";28;en;S;From q3 there is only one transition to q4 marked with 0. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q3','q4','0')]];
"""meno""pu7A";29;en;U;Which are the transitions from q4 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','?','?')]];
"""meno""pu7A";30;en;S;From q4 there is only one transition to q0 marked with 0. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','q0','0')]];
"""meno""pu7A";31;en;U;What is the purpose of the automaton ;[2023-05-28]; [Si];no;7;Ta:setQuestion;Computer Science;FSA;Automata;fsa-theoretical;[];[];
"""meno""pu7A";32;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
"""meno""pu7A";33;en;U;What happens when a 0 comes to state q1 ;[2023-05-28]; [Si];no;9;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('?','q1','0'),('q1','?','?')]];
"""meno""pu7A";34;en;S;From q1 there is only one transition to q2 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q2','1')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;1;en;U;How many states do you have ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;['numberOfStates'];['?'];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;2;en;S;There are a total of 5 states. q0, q1, q2, q3, and q4. q0 is both initial and final state. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;State;fsa-practical;['numberOfStates','states','initialState','finalStates'];['5',['q0','q1','q2','q3','q4'],'q0',['q0']];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;3;en;U;how are your states linked together ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];['?'];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;4;en;S;"I dont' know. Try asking something like, ""What is the accepted language?"" ";[2023-05-28]; [Si];no;18;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;5;en;U;is q0 linked to q0 ;[2023-05-28]; [Si];no;5;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q0','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;6;en;S;From q0 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;7;en;U;is q1 linked to q4 ;[2023-05-28]; [Si];no;5;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q4','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;8;en;S;From q1 there is only one transition to q2 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q2','1')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;9;en;U;what are the transitions from q4 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','?','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;10;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;11;en;U;what are the links of q4 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','?','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;12;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;13;en;U;what are the transitions from q4 ;[2023-05-28]; [Si];no;6;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','?','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;14;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;15;en;U;is q4 linked to q0 ;[2023-05-28]; [Si];no;5;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','q0','?')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;16;en;S;From q0 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;17;en;U;can you describe me the automaton ;[2023-05-28]; [Si];no;6;Ta:request;Computer Science;FSA;Automata;fsa-practical;[];[];
sveUGr-bCBUSZI2QFJORfflTpgefFbKW;18;en;S;It is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a triple of 1s followed by a pair of 0s. There are a total of 5 states: q0, q1, q2, q3, and q4. q0 is both initial and end state. From each state 1 arc starts: from q0 the arc points to q1 and is marked with 1. From q1 it points to q2 and is marked with 1. From q2 it points to q3 and is marked with 1. From q3 points to q4 and is marked with 0. Finally, from q4 points to q0 and is marked again with 0. ;[2023-05-28]; [Si];no;126;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','numberOfStates','states','initialState','finalStates','transitions'];[['0','1'],'5',['q0','q1','q2','q3','q4'],'q0',['q0'],[('q0','q1','1'),('q1','q2','1'),('q2','q3','1'),('q3','q4','0'),('q4','q0','0')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;1;en;U;Could you briefly describe the automaton ;[2023-05-28]; [Si];no;6;Ta:request;Computer Science;FSA;Automata;fsa-practical;[];[];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;2;en;S;This automaton accepts zero or more words in a binary alphabet formed by a sequence of a triple of 1s followed by a pair of 0s. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;Automata;fsa-practical;['alphabet','input'];[['0','1'],'11100'];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;3;en;U;How many states are there ;[2023-05-28]; [Si];no;5;Ta:setQuestion;Computer Science;FSA;State;fsa-practical;['numberOfStates'];['?'];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;4;en;S;There are a total of 5 states. q0, q1, q2, q3, and q4. q0 is both initial and final state. ;[2023-05-28]; [Si];no;27;Ta:answer;Computer Science;FSA;State;fsa-practical;['numberOfStates','states','initialState','finalStates'];['5',['q0','q1','q2','q3','q4'],'q0',['q0']];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;5;en;U;Is there an arc from q0 to q1 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;6;en;S;Yes, there is a transition from q0 to q1 and is marked with 1. ;[2023-05-28]; [Si];no;16;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;7;en;U;Is there an arc from q1 to q2 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q2','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;8;en;S;Yes, there is a transition from q1 to q2 and is marked with 1. ;[2023-05-28]; [Si];no;16;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','q2','1')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;9;en;U;What are the states connected to q0 ;[2023-05-28]; [Si];no;7;Ta:setQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','?','?'),('?','q0','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;10;en;S;I'm not sure about your question. Try asking about states or transitions. Or you can ask me to briefly describe you the automaton, for example. ;[2023-05-28]; [Si];no;30;"AutoF:autoNegative; DS:suggest";Computer Science;FSA;Nan;Nan;[];[];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;11;en;U;Is there an arc from q2 to q3 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','q3','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;12;en;S;Yes, there is a transition from q2 to q3 and is marked with 1. ;[2023-05-28]; [Si];no;16;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q2','q3','1')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;13;en;U;Is there an arc from q3 to q4 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q3','q4','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;14;en;S;Yes, there is a transition from q3 to q4 and is marked with 0. ;[2023-05-28]; [Si];no;16;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q3','q4','0')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;15;en;U;Is there an arc from q4 to q0 ;[2023-05-28]; [Si];no;8;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','q0','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;16;en;S;From q0 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;17;en;U;Is there an arc from q4 ;[2023-05-28]; [Si];no;6;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','?','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;18;en;S;From q4 there is only one transition to q0 marked with 0. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q4','q0','0')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;19;en;U;Is there an arc from q0 ;[2023-05-28]; [Si];no;6;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','?','?')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;20;en;S;From q0 there is only one transition to q1 marked with 1. ;[2023-05-28]; [Si];no;13;Ta:answer;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q0','q1','1')]];
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j;21;en;U;Is there an arc from q1 ;[2023-05-28]; [Si];no;6;Ta:propositionalQuestion;Computer Science;FSA;Transition;fsa-practical;['transitions'];[[('q1','?','?')]];
