id,input,output
yCwNzGV8uxxphdOTs190n_9ES3NNVN2s-turn5,wat is the language recognised by the automaton ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['input']"", ""sv"": ""['?']""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn7,what is the final state of an automaton ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""State"", ""sn"": ""['finalStates']"", ""sv"": ""['?']""}"
AIzOyq5ExGrZ23ca0dNIWCK5C2HD3cCA-turn11,is there a pattern among the transitions ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
uW3QEQnfk56NRlWclbyBzNkqsp20ChY1-turn17,is q0 the final state ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['finalStates']"", ""sv"": ""[['q0']]""}"
conversation7-turn1,what i can ask you,"{""da"": ""Ta:setQuestion"", ""et"": ""Nan"", ""ar"": ""Nan"", ""sn"": ""[]"", ""sv"": ""[]""}"
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu-turn13,is it possible repetitive pattern in the transactions ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
k1xVMO4RTaL82fwPSwYj5iaHpyEYTMcz-turn9,can you describe the automaton ,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
K2TB8bOVY1WHuazVxCQEhM789Y6lGaHw-turn12,this automaton accepts zero or more words in a binary alphabet formed by a sequence of a pair of 1s followed by a 0. ,"{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['alphabet','input']"", ""sv"": ""[['0','1'],'110']""}"
conversation5-turn13,what happens if the input does not follow the sequence of three 1s followed by two 0s,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['input']"", ""sv"": ""['not 11100']""}"
conversation2-turn17,how many states are in the automation,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['numberOfStates']"", ""sv"": ""['?']""}"
"""meno""pu7A-turn28",from q3 there is only one transition to q4 marked with 0. ,"{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q3','q4','0')]]""}"
0SyWdd-YbWP90wUhHSiSYaBDArgtJvUi-turn7,what is the initial state of the automaton ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['initialState']"", ""sv"": ""['?']""}"
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu-turn5,how is the automaton represented ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['graphicRepresentation']"", ""sv"": ""['?']""}"
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa-turn20,"no, there is not a state called like this. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['states']"", ""sv"": ""[[]]""}"
Em5Mj8ykVSTl8U4QKIZ_n7L1bF8H1kL1-turn20,from q1 there is only one transition to q2 marked with 1.,"{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q1','q2','1')]]""}"
sveUGr-bCBUSZI2QFJORfflTpgefFbKW-turn7,is q1 linked to q4 ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q1','q4','?')]]""}"
w05LD7si_oM5jBhxC-dUqFBsx77pOFB2-turn5,is there a particulare pattern among automata arcs ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
conversation3-turn1,can you explain me what is a final state of a dfa?,"{""da"": ""Ta:request"", ""et"": ""fsa-theoretical"", ""ar"": ""State"", ""sn"": ""['automatonType', 'finalStates']"", ""sv"": ""['deterministic', '?']""}"
V3HOB-turn21,how many transitions are there ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['numberOfTransitions']"", ""sv"": ""['?']""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn5,can i use 5 states in an automaton ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""State"", ""sn"": ""['numberOfStates']"", ""sv"": ""['5']""}"
conversation6-turn7,what input causes the automaton to move from q3 to q4,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q3','q4','?')]]""}"
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu-turn4,"i dont' know. just try asking something like, ""how is the automaton represented?"" ","{""da"": ""AutoF:autoNegative; DS:suggest"", ""et"": ""Nan"", ""ar"": ""Nan"", ""sn"": ""[]"", ""sv"": ""[]""}"
g4GdzpVwjD3_X-gmkM5UQstbFQKJqh4d-turn12,"it is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a pair of 1s followed by a 0. there are a total of 3 states: q0, q1, and q2. q0 is both initial and end state. from each state 1 arc starts: from q0 the arc points to q2 and is marked with 1. from q2 it points to q1 and is marked with 1. from q1 it points to q0 and is marked with 0. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['alphabet','input','numberOfStates','states','initialState','finalStates','transitions']"", ""sv"": ""[['0','1'],'110','3',['q0','q1','q2'],'q0',['q0'],[('q0','q2','1'),('q2','q1','1'),('q1','q0','0')]]""}"
conversation5-turn19,how many transitions are there in the automaton,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['numberOfTransitions']"", ""sv"": ""['?']""}"
conversation6-turn19,which state in the automaton is both the initial and the final state,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['initialState','finalStates']"", ""sv"": ""['?','?']""}"
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa-turn6,"no, there is no such transition. from q2 there is only one transition to q1 marked with 1. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q2','q1','1')]]""}"
k1xVMO4RTaL82fwPSwYj5iaHpyEYTMcz-turn17,can you describe the transitions ,"{""da"": ""OCM:selfCorrection"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""['?']""}"
"""meno""pu7A-turn15",give me a list of the arcs ,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""['?']""}"
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa-turn19,what are the states ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['states']"", ""sv"": ""['?']""}"
conversation8-turn9,is there a transitions from q0 to q4,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q0','q4','?')]]""}"
uX-G8wJ5wSxmtNvsKkQg61kTOFczKm8b-turn17,can you describe the transitions,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""['?']""}"
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa-turn4,"it is an automaton which accepts zero or more words in a binary alphabet formed by a sequence of a couple of 1s followed by a 0. there are a total of 3 states: q0, q1, and q2. q0 is both initial and end state. from each state one arc starts: from q0 the arc points to q2 and is marked by 1. from q2 it points to q1 and is marked by 1. finally, from q1 it points to q0 and is marked by 0. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['alphabet','numberOfStates','states','initialState','finalStates','transitions']"", ""sv"": ""[['0','1'],'3',['q0','q1','q2'],'q0',['q0'],[('q0','q2','1'),('q2','q1','1'),('q1','q0','0')]]""}"
Em5Mj8ykVSTl8U4QKIZ_n7L1bF8H1kL1-turn15,final state,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['finalStates']"", ""sv"": ""['?']""}"
VMkBtJ-FIizHxrkxPyS3DniIMKBgDUwJ-turn7,what is the best way to represent this automa ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['graphicRepresentation']"", ""sv"": ""['?']""}"
"""meno""pu7A-turn31",what is the purpose of the automaton ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
k1xVMO4RTaL82fwPSwYj5iaHpyEYTMcz-turn1,what is optimization ,"{""da"": ""Ta:setQuestion"", ""et"": ""Nan"", ""ar"": ""Nan"", ""sn"": ""[]"", ""sv"": ""[]""}"
CW4txSkffsEwrT2wLOzWbeScRrQESVBu-turn1,what is an automaton,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
ShIe4j-y-ekoRj_Xvt7r2MkyrvfyFPK6-turn15, how many transitions ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['numberOfTransitions']"", ""sv"": ""['?']""}"
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu-turn11,the automaton accepts a language allowing words made of an odd number of 0s and 1s ,"{""da"": ""Ta:checkQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['alphabet']"", ""sv"": ""[['0','1']]""}"
ShIe4j-y-ekoRj_Xvt7r2MkyrvfyFPK6-turn9,states and transitions,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions','states']"", ""sv"": ""['?','?']""}"
conversation9-turn9,is there a particular pattern among them,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
rHgyaZS8T8cuQ0u39AHqQBs_vaj5ePIu-turn7,has it cycles ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
ctyHWUgv9B_kHA6DNcrgMxadmJZJ1sHa-turn8,"i don't know, try asking something like, ""describe this automaton."" ","{""da"": ""AutoF:autoNegative; DS:suggest"", ""et"": ""Nan"", ""ar"": ""Nan"", ""sn"": ""[]"", ""sv"": ""[]""}"
conversation7-turn18,"the alphabet accepted by this automaton is a binary alphabet made by 0s and 1s. if you want to      know about the language accepted, ask me about it.","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Alphabet"", ""sn"": ""['alphabet']"", ""sv"": ""[['0','1']]""}"
q9Tw8Mb_nRwbwBOy-cnCELz2dVncJh-T-turn29,what is the result ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""Language"", ""sn"": ""['output']"", ""sv"": ""['?']""}"
"""meno""pu7A-turn7",and how about the arrows ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""['?']""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn11,how is an automaton defined ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
conversation8-turn17,what input can be processed by the automaton,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['input']"", ""sv"": ""['?']""}"
k1xVMO4RTaL82fwPSwYj5iaHpyEYTMcz-turn21,if the input is 110 which is the result ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['input']"", ""sv"": ""['11100']""}"
k1xVMO4RTaL82fwPSwYj5iaHpyEYTMcz-turn13,how are transitions defined ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""['?']""}"
71DvREY3rPDW1C0uzelsV6yXdSNexElS-turn7,how many states does a pentagon shaped automaton have ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['numberOfStates']"", ""sv"": ""['?']""}"
0SyWdd-YbWP90wUhHSiSYaBDArgtJvUi-turn3,what is the initial stage of the automaton ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['initialState']"", ""sv"": ""['?']""}"
ShIe4j-y-ekoRj_Xvt7r2MkyrvfyFPK6-turn25,how is represented,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['graphicRepresentation']"", ""sv"": ""['?']""}"
K2TB8bOVY1WHuazVxCQEhM789Y6lGaHw-turn6,"yes, there is only one arc starting from each state. the first 2 in anti-clockwisedirection are marked by 1, the remaining by 0. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['clockwise']""}"
conversation10-turn17,what are the states connected to q2,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['transitions']"", ""sv"": ""[[('q2','?','?')]]""}"
conversation1-turn29,can i transite from q1 to q0,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q1','q0','?')]]""}"
uX-G8wJ5wSxmtNvsKkQg61kTOFczKm8b-turn3,what is the input,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['input']"", ""sv"": ""['?']""}"
AIzOyq5ExGrZ23ca0dNIWCK5C2HD3cCA-turn1,tell me a little bit about the automaton ,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
hIbhGTnnFCuBbgJSGj1EmY944k9a71iY-turn12,"this automaton has three transitions. the first one starts atq0, being it the initial and final state. from q0 and q2 there is a transition marked as 1. from q2 to q1 there is another transition marked as 1. finally from q1 to q0 there is atransition marked as 0. ","{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['numberOfTransitions','initialState','finalStates','transitions']"", ""sv"": ""['3','q0',['q0'],[('q0','q2','1'),('q2','q1','1'),('q1','q0','0')]]""}"
conversation7-turn3,how many nodes are there?,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['numberOfStates']"", ""sv"": ""['?']""}"
ijaiv0hGDVwkzukjPHEmUC6QtX9wfCHf-turn29,how many final states are there ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['numberOfFinalStates']"", ""sv"": ""['?']""}"
conversation1-turn9,is there a particular pattern among the arcs,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
sveUGr-bCBUSZI2QFJORfflTpgefFbKW-turn9,what are the transitions from q4 ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q4','?','?')]]""}"
uX-G8wJ5wSxmtNvsKkQg61kTOFczKm8b-turn15,which arc from q4,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q4','?','?')]]""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn31,is there a pattern among the arcs ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
conversation10-turn35,is it an undefined automaton,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""['automatonType']"", ""sv"": ""['nonDeterministic']""}"
conversation1-turn23,what is a word in the language accepted,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Alphabet"", ""sn"": ""['alphabet']"", ""sv"": ""['?']""}"
conversation1-turn6,the language accepted by this automaton is made of zero or more words formed by a      sequence of a triple of 1s followed by a pair of 0s.,"{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""['alphabet','input']"", ""sv"": ""[['0','1'],'11100']""}"
0SyWdd-YbWP90wUhHSiSYaBDArgtJvUi-turn5,breifly describe me the automaton ,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
0MgCjt8WVTxN4Thm2f0TbS_vigxpGyhI-turn15,pattern,"{""da"": ""Ta:request"", ""et"": ""fsa-practical"", ""ar"": ""Pattern"", ""sn"": ""['patternType']"", ""sv"": ""['?']""}"
q9Tw8Mb_nRwbwBOy-cnCELz2dVncJh-T-turn31,output ,"{""da"": ""OCM:selfCorrection"", ""et"": ""fsa-theoretical"", ""ar"": ""Language"", ""sn"": ""['output']"", ""sv"": ""['?']""}"
conversation5-turn21,which state in the automaton has the most transitions,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""State"", ""sn"": ""['stateWithMostTransitions']"", ""sv"": ""['?']""}"
K2TB8bOVY1WHuazVxCQEhM789Y6lGaHw-turn8,from q0 there is only one transition to q2 marked with 1. ,"{""da"": ""Ta:answer"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q0','q2','1')]]""}"
V3HOB-turn15,what does the automaton recognize ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Language"", ""sn"": ""[]"", ""sv"": ""[]""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn1,what can i use finite state automata for ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-theoretical"", ""ar"": ""automaton"", ""sn"": ""[]"", ""sv"": ""[]""}"
g4GdzpVwjD3_X-gmkM5UQstbFQKJqh4d-turn3,something ,"{""da"": ""TuM:turnAccept"", ""et"": ""Nan"", ""ar"": ""Nan"", ""sn"": ""[]"", ""sv"": ""[]""}"
conversation3-turn13,is there a way to reach the state q1 from the state q3,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['stateFrom','stateTo']"", ""sv"": ""['q1','q3']""}"
gQZalALP9AxsFfEPC9Lm_JhIimMxTW_j-turn23,is there an arc from q2 ,"{""da"": ""Ta:propositionalQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q2','?','?')]]""}"
0MgCjt8WVTxN4Thm2f0TbS_vigxpGyhI-turn14,there are a total of 3 arcs. try asking me if there is a particular pattern among them.,"{""da"": ""Ta:answer; Ta:suggest"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['numberOfTransitions']"", ""sv"": ""['3']""}"
P-_bE79Vy1PQJqftQhKxblP_VtV-DNEF-turn25,which transitions start from q2 ,"{""da"": ""Ta:setQuestion"", ""et"": ""fsa-practical"", ""ar"": ""Transition"", ""sn"": ""['transitions']"", ""sv"": ""[[('q2','?','?')]]""}"
